Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,4221,False
Latimeria chalumnae,411.9,8903,False
Latimeria chalumnae,411.9,1046,False
Latimeria chalumnae,411.9,11467,False
Latimeria chalumnae,411.9,1454,False
Latimeria chalumnae,411.9,14844,False
Latimeria chalumnae,411.9,4796,False
Latimeria chalumnae,411.9,2342,False
Latimeria chalumnae,411.9,2706,False
Latimeria chalumnae,411.9,11627,False
Latimeria chalumnae,411.9,13149,False
Latimeria chalumnae,411.9,1045,False
Latimeria chalumnae,411.9,1231,False
Latimeria chalumnae,411.9,1960,False
Latimeria chalumnae,411.9,5476,False
Latimeria chalumnae,411.9,9981,False
Latimeria chalumnae,411.9,14847,False
Latimeria chalumnae,411.9,14929,False
Latimeria chalumnae,411.9,2093,False
Latimeria chalumnae,411.9,5264,False
Latimeria chalumnae,411.9,6052,False
Latimeria chalumnae,411.9,13075,False
Latimeria chalumnae,411.9,14861,False
Latimeria chalumnae,411.9,1034,False
Latimeria chalumnae,411.9,1270,False
Latimeria chalumnae,411.9,3321,False
Latimeria chalumnae,411.9,5215,False
Latimeria chalumnae,411.9,10007,False
Latimeria chalumnae,411.9,10013,False
Latimeria chalumnae,411.9,11439,False
Latimeria chalumnae,411.9,12502,False
Latimeria chalumnae,411.9,13094,False
Latimeria chalumnae,411.9,1156,False
Latimeria chalumnae,411.9,3268,False
Latimeria chalumnae,411.9,6024,False
Latimeria chalumnae,411.9,13307,False
Latimeria chalumnae,411.9,1026,False
Latimeria chalumnae,411.9,3254,False
Latimeria chalumnae,411.9,3956,False
Latimeria chalumnae,411.9,5798,False
Latimeria chalumnae,411.9,6931,False
Latimeria chalumnae,411.9,6963,False
Latimeria chalumnae,411.9,7404,False
Latimeria chalumnae,411.9,7569,False
Latimeria chalumnae,411.9,13937,False
Latimeria chalumnae,411.9,14667,False
Latimeria chalumnae,411.9,1401,False
Latimeria chalumnae,411.9,2021,False
Latimeria chalumnae,411.9,5263,False
Latimeria chalumnae,411.9,5406,False
Latimeria chalumnae,411.9,8774,False
Latimeria chalumnae,411.9,236,False
Latimeria chalumnae,411.9,967,False
Latimeria chalumnae,411.9,3511,False
Latimeria chalumnae,411.9,12788,False
Latimeria chalumnae,411.9,14920,False
Latimeria chalumnae,411.9,14935,False
Latimeria chalumnae,411.9,1271,False
Latimeria chalumnae,411.9,4358,False
Latimeria chalumnae,411.9,5070,False
Latimeria chalumnae,411.9,7045,False
Latimeria chalumnae,411.9,10886,False
Latimeria chalumnae,411.9,11907,False
Latimeria chalumnae,411.9,13297,False
Latimeria chalumnae,411.9,13967,False
Latimeria chalumnae,411.9,14891,False
Latimeria chalumnae,411.9,14926,False
Latimeria chalumnae,411.9,6294,False
Latimeria chalumnae,411.9,6701,False
Latimeria chalumnae,411.9,10131,False
Latimeria chalumnae,411.9,2137,False
Latimeria chalumnae,411.9,3239,False
Latimeria chalumnae,411.9,4455,False
Latimeria chalumnae,411.9,11202,False
Latimeria chalumnae,411.9,6926,False
Latimeria chalumnae,411.9,6969,False
Latimeria chalumnae,411.9,11639,False
Latimeria chalumnae,411.9,11661,False
Latimeria chalumnae,411.9,1216,False
Latimeria chalumnae,411.9,1458,False
Latimeria chalumnae,411.9,931,False
Latimeria chalumnae,411.9,3238,False
Latimeria chalumnae,411.9,5762,False
Latimeria chalumnae,411.9,1004,False
Latimeria chalumnae,411.9,1036,False
Latimeria chalumnae,411.9,2492,False
Latimeria chalumnae,411.9,6307,False
Latimeria chalumnae,411.9,6916,False
Latimeria chalumnae,411.9,12528,False
Latimeria chalumnae,411.9,1080,False
Latimeria chalumnae,411.9,1572,False
Latimeria chalumnae,411.9,3288,False
Latimeria chalumnae,411.9,6059,False
Latimeria chalumnae,411.9,7049,False
Latimeria chalumnae,411.9,7332,False
Latimeria chalumnae,411.9,6017,False
Latimeria chalumnae,411.9,13337,False
Latimeria chalumnae,411.9,11201,False
Latimeria chalumnae,411.9,14068,False
Latimeria chalumnae,411.9,14896,False
Latimeria chalumnae,411.9,954,False
Latimeria chalumnae,411.9,6774,False
Latimeria chalumnae,411.9,11225,False
Latimeria chalumnae,411.9,12672,False
Latimeria chalumnae,411.9,754,False
Latimeria chalumnae,411.9,6694,False
Latimeria chalumnae,411.9,6978,False
Latimeria chalumnae,411.9,11616,False
Latimeria chalumnae,411.9,13331,False
Latimeria chalumnae,411.9,235,False
Latimeria chalumnae,411.9,1303,False
Latimeria chalumnae,411.9,2095,False
Latimeria chalumnae,411.9,3803,False
Latimeria chalumnae,411.9,12512,False
Latimeria chalumnae,411.9,1056,False
Latimeria chalumnae,411.9,11446,False
Latimeria chalumnae,411.9,11610,False
Latimeria chalumnae,411.9,13786,False
Latimeria chalumnae,411.9,1943,False
Latimeria chalumnae,411.9,7051,False
Latimeria chalumnae,411.9,1517,False
Latimeria chalumnae,411.9,5151,False
Latimeria chalumnae,411.9,11445,False
Latimeria chalumnae,411.9,1843,False
Latimeria chalumnae,411.9,3265,False
Latimeria chalumnae,411.9,3529,False
Latimeria chalumnae,411.9,6918,False
Latimeria chalumnae,411.9,12505,False
Latimeria chalumnae,411.9,11442,False
Latimeria chalumnae,411.9,12469,False
Latimeria chalumnae,411.9,6016,False
Latimeria chalumnae,411.9,14840,False
Latimeria chalumnae,411.9,1111,False
Latimeria chalumnae,411.9,5212,False
Latimeria chalumnae,411.9,211,False
Latimeria chalumnae,411.9,1373,False
Latimeria chalumnae,411.9,1286,False
Latimeria chalumnae,411.9,2100,False
Latimeria chalumnae,411.9,6677,False
Latimeria chalumnae,411.9,2477,False
Latimeria chalumnae,411.9,6649,False
Latimeria chalumnae,411.9,1239,False
Latimeria chalumnae,411.9,11649,False
Latimeria chalumnae,411.9,6641,False
Latimeria chalumnae,411.9,13275,False
Latimeria chalumnae,411.9,721,False
Latimeria chalumnae,411.9,8380,False
Latimeria chalumnae,411.9,12520,False
Latimeria chalumnae,411.9,11662,False
Latimeria chalumnae,411.9,3313,False
Latimeria chalumnae,411.9,4747,False
Latimeria chalumnae,411.9,6913,False
Latimeria chalumnae,411.9,3279,False
Latimeria chalumnae,411.9,5076,False
Latimeria chalumnae,411.9,11498,False
Latimeria chalumnae,411.9,13267,False
Latimeria chalumnae,411.9,2127,False
Latimeria chalumnae,411.9,10231,False
Latimeria chalumnae,411.9,750,False
Latimeria chalumnae,411.9,6938,False
Latimeria chalumnae,411.9,12789,False
Latimeria chalumnae,411.9,14041,False
Latimeria chalumnae,411.9,215,False
Latimeria chalumnae,411.9,2090,False
Latimeria chalumnae,411.9,5069,False
Latimeria chalumnae,411.9,12723,False
Latimeria chalumnae,411.9,1306,False
Latimeria chalumnae,411.9,2089,False
Latimeria chalumnae,411.9,4715,False
Latimeria chalumnae,411.9,13933,False
Latimeria chalumnae,411.9,5894,False
Latimeria chalumnae,411.9,5378,False
Latimeria chalumnae,411.9,6927,False
Latimeria chalumnae,411.9,2478,False
Latimeria chalumnae,411.9,6630,False
Latimeria chalumnae,411.9,10003,False
Latimeria chalumnae,411.9,1102,False
Latimeria chalumnae,411.9,2513,False
Latimeria chalumnae,411.9,4628,False
Latimeria chalumnae,411.9,936,False
Latimeria chalumnae,411.9,7009,False
Latimeria chalumnae,411.9,2102,False
Latimeria chalumnae,411.9,7061,False
Latimeria chalumnae,411.9,5460,False
Latimeria chalumnae,411.9,1226,False
Latimeria chalumnae,411.9,6047,False
Latimeria chalumnae,411.9,7008,False
Latimeria chalumnae,411.9,1346,False
Latimeria chalumnae,411.9,2136,False
Latimeria chalumnae,411.9,4853,False
Latimeria chalumnae,411.9,5851,False
Latimeria chalumnae,411.9,11531,False
Latimeria chalumnae,411.9,14889,False
Latimeria chalumnae,411.9,1005,False
Latimeria chalumnae,411.9,14856,False
Latimeria chalumnae,411.9,2118,False
Latimeria chalumnae,411.9,1331,False
Latimeria chalumnae,411.9,3245,False
Latimeria chalumnae,411.9,4357,False
Latimeria chalumnae,411.9,10892,False
Latimeria chalumnae,411.9,4661,False
Latimeria chalumnae,411.9,10021,False
Latimeria chalumnae,411.9,13336,False
Latimeria chalumnae,411.9,7050,False
Latimeria chalumnae,411.9,4798,False
Latimeria chalumnae,411.9,5484,False
Latimeria chalumnae,411.9,5871,False
Latimeria chalumnae,411.9,7457,False
Latimeria chalumnae,411.9,11468,False
Latimeria chalumnae,411.9,5075,False
Latimeria chalumnae,411.9,13250,False
Latimeria chalumnae,411.9,959,False
Latimeria chalumnae,411.9,1367,False
Latimeria chalumnae,411.9,14873,False
Latimeria chalumnae,411.9,1061,False
Latimeria chalumnae,411.9,2113,False
Latimeria chalumnae,411.9,1425,False
Latimeria chalumnae,411.9,1472,False
Latimeria chalumnae,411.9,1430,False
Latimeria chalumnae,411.9,6651,False
Latimeria chalumnae,411.9,11606,False
Latimeria chalumnae,411.9,1203,False
Latimeria chalumnae,411.9,223,False
Latimeria chalumnae,411.9,1427,False
Latimeria chalumnae,411.9,5113,False
Latimeria chalumnae,411.9,9978,False
Latimeria chalumnae,411.9,14886,False
Latimeria chalumnae,411.9,6933,False
Latimeria chalumnae,411.9,13288,False
Latimeria chalumnae,411.9,1368,False
Latimeria chalumnae,411.9,4780,False
Latimeria chalumnae,411.9,10030,False
Latimeria chalumnae,411.9,13287,False
Latimeria chalumnae,411.9,1290,False
Latimeria chalumnae,411.9,13223,False
Latimeria chalumnae,411.9,1058,False
Latimeria chalumnae,411.9,5085,False
Latimeria chalumnae,411.9,6627,False
Latimeria chalumnae,411.9,11349,False
Latimeria chalumnae,411.9,952,False
Latimeria chalumnae,411.9,6658,False
Latimeria chalumnae,411.9,13948,False
Latimeria chalumnae,411.9,10257,False
Latimeria chalumnae,411.9,12832,False
Latimeria chalumnae,411.9,14883,False
Latimeria chalumnae,411.9,224,False
Latimeria chalumnae,411.9,225,False
Latimeria chalumnae,411.9,940,False
Latimeria chalumnae,411.9,3714,False
Latimeria chalumnae,411.9,14858,False
Latimeria chalumnae,411.9,1962,False
Latimeria chalumnae,411.9,6930,False
Latimeria chalumnae,411.9,14881,False
Latimeria chalumnae,411.9,14887,False
Latimeria chalumnae,411.9,2015,False
Latimeria chalumnae,411.9,6841,False
Latimeria chalumnae,411.9,994,False
Latimeria chalumnae,411.9,5877,False
Latimeria chalumnae,411.9,6634,False
Latimeria chalumnae,411.9,2019,False
Latimeria chalumnae,411.9,6056,False
Latimeria chalumnae,411.9,6642,False
Latimeria chalumnae,411.9,6638,False
Latimeria chalumnae,411.9,724,False
Latimeria chalumnae,411.9,4719,False
Latimeria chalumnae,411.9,4730,False
Latimeria chalumnae,411.9,4731,False
Latimeria chalumnae,411.9,4733,False
Latimeria chalumnae,411.9,4734,False
Latimeria chalumnae,411.9,4756,False
Latimeria chalumnae,411.9,4762,False
Latimeria chalumnae,411.9,4772,False
Latimeria chalumnae,411.9,4778,False
Latimeria chalumnae,411.9,4785,False
Latimeria chalumnae,411.9,4791,False
Latimeria chalumnae,411.9,4793,False
Latimeria chalumnae,411.9,4797,False
Latimeria chalumnae,411.9,4802,False
Latimeria chalumnae,411.9,4806,False
Latimeria chalumnae,411.9,4814,False
Latimeria chalumnae,411.9,4820,False
Latimeria chalumnae,411.9,4821,False
Latimeria chalumnae,411.9,4825,False
Latimeria chalumnae,411.9,4830,False
Latimeria chalumnae,411.9,4834,False
Latimeria chalumnae,411.9,4851,False
Latimeria chalumnae,411.9,1948,False
Latimeria chalumnae,411.9,1946,False
Latimeria chalumnae,411.9,1947,False
Latimeria chalumnae,411.9,1949,False
Latimeria chalumnae,411.9,1950,False
Latimeria chalumnae,411.9,1951,False
Latimeria chalumnae,411.9,1952,False
Latimeria chalumnae,411.9,1953,False
Latimeria chalumnae,411.9,1954,False
Latimeria chalumnae,411.9,1955,False
Latimeria chalumnae,411.9,1956,False
Latimeria chalumnae,411.9,1957,False
Latimeria chalumnae,411.9,1958,False
Latimeria chalumnae,411.9,1959,False
Latimeria chalumnae,411.9,1961,False
Latimeria chalumnae,411.9,1963,False
Latimeria chalumnae,411.9,1964,False
Latimeria chalumnae,411.9,1965,False
Latimeria chalumnae,411.9,1966,False
Latimeria chalumnae,411.9,1967,False
Latimeria chalumnae,411.9,1968,False
Latimeria chalumnae,411.9,1969,False
Latimeria chalumnae,411.9,1970,False
Latimeria chalumnae,411.9,1971,False
Latimeria chalumnae,411.9,1972,False
Latimeria chalumnae,411.9,1973,False
Latimeria chalumnae,411.9,1974,False
Latimeria chalumnae,411.9,1975,False
Latimeria chalumnae,411.9,1976,False
Latimeria chalumnae,411.9,1977,False
Latimeria chalumnae,411.9,1978,False
Latimeria chalumnae,411.9,1979,False
Latimeria chalumnae,411.9,1980,False
Latimeria chalumnae,411.9,1981,False
Latimeria chalumnae,411.9,1982,False
Latimeria chalumnae,411.9,1983,False
Latimeria chalumnae,411.9,1984,False
Latimeria chalumnae,411.9,1985,False
Latimeria chalumnae,411.9,1986,False
Latimeria chalumnae,411.9,1987,False
Latimeria chalumnae,411.9,1988,False
Latimeria chalumnae,411.9,1989,False
Latimeria chalumnae,411.9,1990,False
Latimeria chalumnae,411.9,1991,False
Latimeria chalumnae,411.9,1992,False
Latimeria chalumnae,411.9,1993,False
Latimeria chalumnae,411.9,1994,False
Latimeria chalumnae,411.9,1995,False
Latimeria chalumnae,411.9,1996,False
Latimeria chalumnae,411.9,1997,False
Latimeria chalumnae,411.9,1998,False
Latimeria chalumnae,411.9,1999,False
Latimeria chalumnae,411.9,2000,False
Latimeria chalumnae,411.9,2001,False
Latimeria chalumnae,411.9,2002,False
Latimeria chalumnae,411.9,2003,False
Latimeria chalumnae,411.9,2004,False
Latimeria chalumnae,411.9,2005,False
Latimeria chalumnae,411.9,2006,False
Latimeria chalumnae,411.9,2007,False
Latimeria chalumnae,411.9,2008,False
Latimeria chalumnae,411.9,2009,False
Latimeria chalumnae,411.9,2010,False
Latimeria chalumnae,411.9,2011,False
Latimeria chalumnae,411.9,2012,False
Latimeria chalumnae,411.9,2013,False
Latimeria chalumnae,411.9,2014,False
Latimeria chalumnae,411.9,2016,False
Latimeria chalumnae,411.9,2017,False
Latimeria chalumnae,411.9,2018,False
Latimeria chalumnae,411.9,2020,False
Latimeria chalumnae,411.9,2022,False
Latimeria chalumnae,411.9,2023,False
Latimeria chalumnae,411.9,2024,False
Latimeria chalumnae,411.9,2025,False
Latimeria chalumnae,411.9,2026,False
Latimeria chalumnae,411.9,2027,False
Latimeria chalumnae,411.9,2028,False
Latimeria chalumnae,411.9,2029,False
Latimeria chalumnae,411.9,2030,False
Latimeria chalumnae,411.9,2031,False
Latimeria chalumnae,411.9,2032,False
Latimeria chalumnae,411.9,2033,False
Latimeria chalumnae,411.9,2034,False
Latimeria chalumnae,411.9,2035,False
Latimeria chalumnae,411.9,2036,False
Latimeria chalumnae,411.9,2037,False
Latimeria chalumnae,411.9,2038,False
Latimeria chalumnae,411.9,2039,False
Latimeria chalumnae,411.9,2040,False
Latimeria chalumnae,411.9,2041,False
Latimeria chalumnae,411.9,2042,False
Latimeria chalumnae,411.9,2043,False
Latimeria chalumnae,411.9,2044,False
Latimeria chalumnae,411.9,2045,False
Latimeria chalumnae,411.9,2046,False
Latimeria chalumnae,411.9,2047,False
Latimeria chalumnae,411.9,2048,False
Latimeria chalumnae,411.9,2049,False
Latimeria chalumnae,411.9,2050,False
Latimeria chalumnae,411.9,2051,False
Latimeria chalumnae,411.9,2052,False
Latimeria chalumnae,411.9,2053,False
Latimeria chalumnae,411.9,2054,False
Latimeria chalumnae,411.9,2055,False
Latimeria chalumnae,411.9,2056,False
Latimeria chalumnae,411.9,2057,False
Latimeria chalumnae,411.9,2058,False
Latimeria chalumnae,411.9,2059,False
Latimeria chalumnae,411.9,2060,False
Latimeria chalumnae,411.9,2061,False
Latimeria chalumnae,411.9,2062,False
Latimeria chalumnae,411.9,2063,False
Latimeria chalumnae,411.9,2064,False
Latimeria chalumnae,411.9,2065,False
Latimeria chalumnae,411.9,2066,False
Latimeria chalumnae,411.9,2067,False
Latimeria chalumnae,411.9,2068,False
Latimeria chalumnae,411.9,2069,False
Latimeria chalumnae,411.9,2070,False
Latimeria chalumnae,411.9,2071,False
Latimeria chalumnae,411.9,2072,False
Latimeria chalumnae,411.9,2073,False
Latimeria chalumnae,411.9,2074,False
Latimeria chalumnae,411.9,2075,False
Latimeria chalumnae,411.9,2076,False
Latimeria chalumnae,411.9,2077,False
Latimeria chalumnae,411.9,2078,False
Latimeria chalumnae,411.9,2079,False
Latimeria chalumnae,411.9,2080,False
Latimeria chalumnae,411.9,2081,False
Latimeria chalumnae,411.9,2082,False
Latimeria chalumnae,411.9,2083,False
Latimeria chalumnae,411.9,2084,False
Latimeria chalumnae,411.9,2085,False
Latimeria chalumnae,411.9,2086,False
Latimeria chalumnae,411.9,2087,False
Latimeria chalumnae,411.9,2088,False
Nanorana parkeri,355.7,4221,False
Nanorana parkeri,355.7,8903,False
Nanorana parkeri,355.7,1046,False
Nanorana parkeri,355.7,11467,False
Nanorana parkeri,355.7,1454,False
Nanorana parkeri,355.7,14844,False
Nanorana parkeri,355.7,4796,False
Nanorana parkeri,355.7,2342,False
Nanorana parkeri,355.7,2706,False
Nanorana parkeri,355.7,11627,False
Nanorana parkeri,355.7,13149,False
Nanorana parkeri,355.7,1045,False
Nanorana parkeri,355.7,1231,False
Nanorana parkeri,355.7,1960,False
Nanorana parkeri,355.7,5476,False
Nanorana parkeri,355.7,9981,False
Nanorana parkeri,355.7,14847,False
Nanorana parkeri,355.7,14929,False
Nanorana parkeri,355.7,2093,False
Nanorana parkeri,355.7,5264,False
Nanorana parkeri,355.7,6052,False
Nanorana parkeri,355.7,13075,False
Nanorana parkeri,355.7,14861,False
Nanorana parkeri,355.7,1034,False
Nanorana parkeri,355.7,1270,False
Nanorana parkeri,355.7,3321,False
Nanorana parkeri,355.7,5215,False
Nanorana parkeri,355.7,10007,False
Nanorana parkeri,355.7,10013,False
Nanorana parkeri,355.7,11439,False
Nanorana parkeri,355.7,12502,False
Nanorana parkeri,355.7,13094,False
Nanorana parkeri,355.7,1156,False
Nanorana parkeri,355.7,3268,False
Nanorana parkeri,355.7,6024,False
Nanorana parkeri,355.7,13307,False
Nanorana parkeri,355.7,1026,False
Nanorana parkeri,355.7,3254,False
Nanorana parkeri,355.7,3956,False
Nanorana parkeri,355.7,5798,False
Nanorana parkeri,355.7,6931,False
Nanorana parkeri,355.7,6963,False
Nanorana parkeri,355.7,7404,False
Nanorana parkeri,355.7,7569,False
Nanorana parkeri,355.7,13937,False
Nanorana parkeri,355.7,14667,False
Nanorana parkeri,355.7,1401,False
Nanorana parkeri,355.7,2021,False
Nanorana parkeri,355.7,5263,False
Nanorana parkeri,355.7,5406,False
Nanorana parkeri,355.7,8774,False
Nanorana parkeri,355.7,236,False
Nanorana parkeri,355.7,967,False
Nanorana parkeri,355.7,3511,False
Nanorana parkeri,355.7,12788,False
Nanorana parkeri,355.7,14920,False
Nanorana parkeri,355.7,14935,False
Nanorana parkeri,355.7,1271,False
Nanorana parkeri,355.7,4358,False
Nanorana parkeri,355.7,5070,False
Nanorana parkeri,355.7,7045,False
Nanorana parkeri,355.7,10886,False
Nanorana parkeri,355.7,11907,False
Nanorana parkeri,355.7,13297,False
Nanorana parkeri,355.7,13967,False
Nanorana parkeri,355.7,14891,False
Nanorana parkeri,355.7,14926,False
Nanorana parkeri,355.7,6294,False
Nanorana parkeri,355.7,6701,False
Nanorana parkeri,355.7,10131,False
Nanorana parkeri,355.7,2137,False
Nanorana parkeri,355.7,3239,False
Nanorana parkeri,355.7,4455,False
Nanorana parkeri,355.7,11202,False
Nanorana parkeri,355.7,6926,False
Nanorana parkeri,355.7,6969,False
Nanorana parkeri,355.7,11639,False
Nanorana parkeri,355.7,11661,False
Nanorana parkeri,355.7,1216,False
Nanorana parkeri,355.7,1458,False
Nanorana parkeri,355.7,931,False
Nanorana parkeri,355.7,3238,False
Nanorana parkeri,355.7,5762,False
Nanorana parkeri,355.7,1004,False
Nanorana parkeri,355.7,1036,False
Nanorana parkeri,355.7,2492,False
Nanorana parkeri,355.7,6307,False
Nanorana parkeri,355.7,6916,False
Nanorana parkeri,355.7,12528,False
Nanorana parkeri,355.7,1080,False
Nanorana parkeri,355.7,1572,False
Nanorana parkeri,355.7,3288,False
Nanorana parkeri,355.7,6059,False
Nanorana parkeri,355.7,7049,False
Nanorana parkeri,355.7,7332,False
Nanorana parkeri,355.7,6017,False
Nanorana parkeri,355.7,13337,False
Nanorana parkeri,355.7,11201,False
Nanorana parkeri,355.7,14068,False
Nanorana parkeri,355.7,14896,False
Nanorana parkeri,355.7,954,False
Nanorana parkeri,355.7,6774,False
Nanorana parkeri,355.7,11225,False
Nanorana parkeri,355.7,12672,False
Nanorana parkeri,355.7,754,False
Nanorana parkeri,355.7,6694,False
Nanorana parkeri,355.7,6978,False
Nanorana parkeri,355.7,11616,False
Nanorana parkeri,355.7,13331,False
Nanorana parkeri,355.7,235,False
Nanorana parkeri,355.7,1303,False
Nanorana parkeri,355.7,2095,False
Nanorana parkeri,355.7,3803,False
Nanorana parkeri,355.7,12512,False
Nanorana parkeri,355.7,1056,False
Nanorana parkeri,355.7,11446,False
Nanorana parkeri,355.7,11610,False
Nanorana parkeri,355.7,13786,False
Nanorana parkeri,355.7,1943,False
Nanorana parkeri,355.7,7051,False
Nanorana parkeri,355.7,1517,False
Nanorana parkeri,355.7,5151,False
Nanorana parkeri,355.7,11445,False
Nanorana parkeri,355.7,1843,False
Nanorana parkeri,355.7,3265,False
Nanorana parkeri,355.7,3529,False
Nanorana parkeri,355.7,6918,False
Nanorana parkeri,355.7,12505,False
Nanorana parkeri,355.7,11442,False
Nanorana parkeri,355.7,12469,False
Nanorana parkeri,355.7,6016,False
Nanorana parkeri,355.7,14840,False
Nanorana parkeri,355.7,1111,False
Nanorana parkeri,355.7,5212,False
Nanorana parkeri,355.7,211,False
Nanorana parkeri,355.7,1373,False
Nanorana parkeri,355.7,1286,False
Nanorana parkeri,355.7,2100,False
Nanorana parkeri,355.7,6677,False
Nanorana parkeri,355.7,2477,False
Nanorana parkeri,355.7,6649,False
Nanorana parkeri,355.7,1239,False
Nanorana parkeri,355.7,11649,False
Nanorana parkeri,355.7,6641,False
Nanorana parkeri,355.7,13275,False
Nanorana parkeri,355.7,721,False
Nanorana parkeri,355.7,8380,False
Nanorana parkeri,355.7,12520,False
Nanorana parkeri,355.7,11662,False
Nanorana parkeri,355.7,3313,False
Nanorana parkeri,355.7,4747,False
Nanorana parkeri,355.7,6913,False
Nanorana parkeri,355.7,3279,False
Nanorana parkeri,355.7,5076,False
Nanorana parkeri,355.7,11498,False
Nanorana parkeri,355.7,13267,False
Nanorana parkeri,355.7,2127,False
Nanorana parkeri,355.7,10231,False
Nanorana parkeri,355.7,750,False
Nanorana parkeri,355.7,6938,False
Nanorana parkeri,355.7,12789,False
Nanorana parkeri,355.7,14041,False
Nanorana parkeri,355.7,215,False
Nanorana parkeri,355.7,2090,False
Nanorana parkeri,355.7,5069,False
Nanorana parkeri,355.7,12723,False
Nanorana parkeri,355.7,1306,False
Nanorana parkeri,355.7,2089,False
Nanorana parkeri,355.7,4715,False
Nanorana parkeri,355.7,13933,False
Nanorana parkeri,355.7,5894,False
Nanorana parkeri,355.7,5378,False
Nanorana parkeri,355.7,6927,False
Nanorana parkeri,355.7,2478,False
Nanorana parkeri,355.7,6630,False
Nanorana parkeri,355.7,10003,False
Nanorana parkeri,355.7,1102,False
Nanorana parkeri,355.7,2513,False
Nanorana parkeri,355.7,4628,False
Nanorana parkeri,355.7,936,False
Nanorana parkeri,355.7,7009,False
Nanorana parkeri,355.7,2102,False
Nanorana parkeri,355.7,7061,False
Nanorana parkeri,355.7,5460,False
Nanorana parkeri,355.7,1226,False
Nanorana parkeri,355.7,6047,False
Nanorana parkeri,355.7,7008,False
Nanorana parkeri,355.7,1346,False
Nanorana parkeri,355.7,2136,False
Nanorana parkeri,355.7,4853,False
Nanorana parkeri,355.7,5851,False
Nanorana parkeri,355.7,11531,False
Nanorana parkeri,355.7,14889,False
Nanorana parkeri,355.7,1005,False
Nanorana parkeri,355.7,14856,False
Nanorana parkeri,355.7,2118,False
Nanorana parkeri,355.7,1331,False
Nanorana parkeri,355.7,3245,False
Nanorana parkeri,355.7,4357,False
Nanorana parkeri,355.7,10892,False
Nanorana parkeri,355.7,4661,False
Nanorana parkeri,355.7,10021,False
Nanorana parkeri,355.7,13336,False
Nanorana parkeri,355.7,7050,False
Nanorana parkeri,355.7,4798,False
Nanorana parkeri,355.7,5484,False
Nanorana parkeri,355.7,5871,False
Nanorana parkeri,355.7,7457,False
Nanorana parkeri,355.7,11468,False
Nanorana parkeri,355.7,5075,False
Nanorana parkeri,355.7,13250,False
Nanorana parkeri,355.7,959,False
Nanorana parkeri,355.7,1367,False
Nanorana parkeri,355.7,14873,False
Nanorana parkeri,355.7,1061,False
Nanorana parkeri,355.7,2113,False
Nanorana parkeri,355.7,1425,False
Nanorana parkeri,355.7,1472,False
Nanorana parkeri,355.7,1430,False
Nanorana parkeri,355.7,6651,False
Nanorana parkeri,355.7,11606,False
Nanorana parkeri,355.7,1203,False
Nanorana parkeri,355.7,223,False
Nanorana parkeri,355.7,1427,False
Nanorana parkeri,355.7,5113,False
Nanorana parkeri,355.7,9978,False
Nanorana parkeri,355.7,14886,False
Nanorana parkeri,355.7,6933,False
Nanorana parkeri,355.7,13288,False
Nanorana parkeri,355.7,1368,False
Nanorana parkeri,355.7,4780,False
Nanorana parkeri,355.7,10030,False
Nanorana parkeri,355.7,13287,False
Nanorana parkeri,355.7,1290,False
Nanorana parkeri,355.7,13223,False
Nanorana parkeri,355.7,1058,False
Nanorana parkeri,355.7,5085,False
Nanorana parkeri,355.7,6627,False
Nanorana parkeri,355.7,11349,False
Nanorana parkeri,355.7,952,False
Nanorana parkeri,355.7,6658,False
Nanorana parkeri,355.7,13948,False
Nanorana parkeri,355.7,10257,False
Nanorana parkeri,355.7,12832,False
Nanorana parkeri,355.7,14883,False
Nanorana parkeri,355.7,224,False
Nanorana parkeri,355.7,225,False
Nanorana parkeri,355.7,940,False
Nanorana parkeri,355.7,3714,False
Nanorana parkeri,355.7,14858,False
Nanorana parkeri,355.7,1962,False
Nanorana parkeri,355.7,6930,False
Nanorana parkeri,355.7,14881,False
Nanorana parkeri,355.7,14887,False
Nanorana parkeri,355.7,2015,False
Nanorana parkeri,355.7,6841,False
Nanorana parkeri,355.7,994,False
Nanorana parkeri,355.7,5877,False
Nanorana parkeri,355.7,6634,False
Nanorana parkeri,355.7,2019,False
Nanorana parkeri,355.7,6056,False
Nanorana parkeri,355.7,6642,False
Nanorana parkeri,355.7,6638,False
Nanorana parkeri,355.7,724,False
Nanorana parkeri,355.7,4719,False
Nanorana parkeri,355.7,4730,False
Nanorana parkeri,355.7,4731,False
Nanorana parkeri,355.7,4733,False
Nanorana parkeri,355.7,4734,False
Nanorana parkeri,355.7,4756,False
Nanorana parkeri,355.7,4762,False
Nanorana parkeri,355.7,4772,False
Nanorana parkeri,355.7,4778,False
Nanorana parkeri,355.7,4785,False
Nanorana parkeri,355.7,4791,False
Nanorana parkeri,355.7,4793,False
Nanorana parkeri,355.7,4797,False
Nanorana parkeri,355.7,4802,False
Nanorana parkeri,355.7,4806,False
Nanorana parkeri,355.7,4814,False
Nanorana parkeri,355.7,4820,False
Nanorana parkeri,355.7,4821,False
Nanorana parkeri,355.7,4825,False
Nanorana parkeri,355.7,4830,False
Nanorana parkeri,355.7,4834,False
Nanorana parkeri,355.7,4851,False
Nanorana parkeri,355.7,1948,False
Nanorana parkeri,355.7,1946,False
Nanorana parkeri,355.7,1947,False
Nanorana parkeri,355.7,1949,False
Nanorana parkeri,355.7,1950,False
